461 1161.091159 4.853E-24 5.610E+00.06980.059 2686.68110.750.000000              1              0                    P 57      532210 1 1 1 1 1 0   113.0  115.0
461 1162.050267 2.611E-25 1.160E+01.06980.059 3413.96280.750.000000              2              1                    P 51      532210 1 1 1 1 1 0   101.0  103.0
461 1163.338316 7.485E-24 5.650E+00.06980.059 2594.52270.750.000000              1              0                    P 56      532210 1 1 1 1 1 0   111.0  113.0
461 1164.224707 3.798E-25 1.160E+01.06980.060 3331.93360.750.000000              2              1                    P 50      532210 1 1 1 1 1 0    99.0  101.0
461 1165.575368 1.147E-23 5.700E+00.06980.059 2503.94730.750.000000              1              0                    P 55      532210 1 1 1 1 1 0   109.0  111.0
461 1166.388857 5.530E-25 1.170E+01.06980.061 3251.48570.750.000000              2              1                    P 49      532210 1 1 1 1 1 0    97.0   99.0
461 1167.802283 1.741E-23 5.740E+00.06980.059 2414.95680.750.000000              1              0                    P 54      532210 1 1 1 1 1 0   107.0  109.0
461 1168.542688 7.984E-25 1.180E+01.06980.061 3172.62090.750.000000              2              1                    P 48      532210 1 1 1 1 1 0    95.0   97.0
461 1170.019033 2.622E-23 5.780E+00.06980.059 2327.55280.750.000000              1              0                    P 53      532210 1 1 1 1 1 0   105.0  107.0
461 1170.686170 1.143E-24 1.190E+01.06980.062 3095.34070.750.000000              2              1                    P 47      532210 1 1 1 1 1 0    93.0   95.0
461 1172.225589 3.915E-23 5.820E+00.06980.059 2241.73720.750.000000              1              0                    P 52      532210 1 1 1 1 1 0   103.0  105.0
461 1172.819273 1.624E-24 1.200E+01.07000.062 3019.64660.750.000000              2              1                    P 46      532210 1 1 1 1 1 0    91.0   93.0
461 1174.421919 5.800E-23 5.860E+00.06980.059 2157.51160.750.000000              1              0                    P 51      532210 1 1 1 1 1 0   101.0  103.0
461 1174.941967 2.288E-24 1.210E+01.07030.063 2945.54020.750.000000              2              1                    P 45      532210 1 1 1 1 1 0    89.0   91.0
461 1176.607995 8.522E-23 5.900E+00.06980.060 2074.87770.750.000000              1              0                    P 50      532210 1 1 1 1 1 0    99.0  101.0
461 1177.054221 3.171E-24 1.210E+01.07050.063 2873.02280.750.000000              2              1                    P 44      532210 1 1 1 1 1 0    87.0   89.0
461 1178.783787 1.242E-22 5.940E+00.06980.061 1993.83710.750.000000              1              0                    P 49      532210 1 1 1 1 1 0    97.0   99.0
461 1179.156005 4.393E-24 1.220E+01.07080.064 2802.09610.750.000000              2              1                    P 43      532210 1 1 1 1 1 0    85.0   87.0
461 1180.949264 1.795E-22 5.980E+00.06980.061 1914.39140.750.000000              1              0                    P 48      532210 1 1 1 1 1 0    95.0   97.0
461 1181.247290 6.037E-24 1.230E+01.07110.064 2732.76130.750.000000              2              1                    P 42      532210 1 1 1 1 1 0    83.0   85.0
461 1183.104397 2.578E-22 6.030E+00.06980.062 1836.54220.750.000000              1              0                    P 47      532210 1 1 1 1 1 0    93.0   95.0
461 1183.328044 8.227E-24 1.240E+01.07130.065 2665.01980.750.000000              2              1                    P 41      532210 1 1 1 1 1 0    81.0   83.0
461 1185.249154 3.665E-22 6.070E+00.07000.062 1760.29100.750.000000              1              0                    P 46      532210 1 1 1 1 1 0    91.0   93.0
461 1185.398237 1.112E-23 1.250E+01.07160.065 2598.87310.750.000000              2              1                    P 40      532210 1 1 1 1 1 0    79.0   81.0
461 1187.383508 5.168E-22 6.110E+00.07030.063 1685.63930.750.000000              1              0                    P 45      532210 1 1 1 1 1 0    89.0   91.0
461 1187.457840 1.490E-23 1.260E+01.07180.065 2534.32230.750.000000              2              1                    P 39      532210 1 1 1 1 1 0    77.0   79.0
461 1189.506821 1.964E-23 1.260E+01.07210.066 2471.36890.750.000000              2              1                    P 38      532210 1 1 1 1 1 0    75.0   77.0
461 1189.507426 7.226E-22 6.150E+00.07050.063 1612.58860.750.000000              1              0                    P 44      532210 1 1 1 1 1 0    87.0   89.0
461 1191.545150 2.587E-23 1.270E+01.07240.066 2410.01400.750.000000              2              1                    P 37      532210 1 1 1 1 1 0    73.0   75.0
461 1191.620879 1.004E-21 6.200E+00.07080.064 1541.14040.750.000000              1              0                    P 43      532210 1 1 1 1 1 0    85.0   87.0
461 1193.572796 3.379E-23 1.280E+01.07260.067 2350.25890.750.000000              2              1                    P 36      532210 1 1 1 1 1 0    71.0   73.0
461 1193.723836 1.380E-21 6.240E+00.07110.064 1471.29600.750.000000              1              0                    P 42      532210 1 1 1 1 1 0    83.0   85.0
461 1195.589729 4.377E-23 1.290E+01.07290.067 2292.10470.750.000000              2              1                    P 35      532210 1 1 1 1 1 0    69.0   71.0
